delivery_id,order_id,delivery_status,delivery_time,rider_id
167,6536,Not Delivered,2:59:19,11
168,2476,Not Delivered,13:21:19,9
169,5147,Not Delivered,12:43:49,10
170,9422,Not Delivered,5:45:24,24
171,4007,Delivered,4:25:17,13
172,970,Not Delivered,3:38:32,4
173,9115,Not Delivered,10:52:8,9
174,774,Delivered,13:24:50,8
175,1299,Delivered,16:13:1,4
176,1568,Delivered,1:17:6,6
177,2856,Not Delivered,12:3:6,24
178,5993,Delivered,9:14:16,33
179,920,Delivered,8:41:2,6
180,9976,Delivered,22:3:35,15
181,2954,Delivered,18:30:2,34
182,4980,Not Delivered,7:18:22,22
183,8804,Not Delivered,6:35:28,11
184,8136,Delivered,18:25:32,28
185,8170,Delivered,7:39:52,21
186,9527,Not Delivered,9:17:59,21
187,2283,Not Delivered,6:53:17,33
188,2365,Not Delivered,6:44:49,15
189,2892,Not Delivered,14:0:11,12
190,4675,Not Delivered,13:58:39,32
191,9194,Delivered,13:43:58,5
192,4425,Delivered,17:49:3,25
193,2105,Not Delivered,10:18:10,18
194,330,Not Delivered,22:23:16,9
195,5795,Delivered,7:20:31,6
196,10000,Not Delivered,22:5:31,8
197,4479,Delivered,11:32:6,15
198,8728,Delivered,18:36:22,28
199,8558,Not Delivered,9:27:1,18
200,1669,Delivered,0:38:34,18
201,465,Delivered,21:22:21,3
202,962,Delivered,6:32:47,3
203,2771,Not Delivered,12:35:32,24
204,9232,Not Delivered,5:16:45,7
205,8659,Not Delivered,18:58:52,24
206,5412,Not Delivered,2:7:10,31
207,4388,Not Delivered,23:35:19,20
208,6783,Not Delivered,20:42:21,17
209,7974,Delivered,1:35:0,23
210,5915,Not Delivered,6:37:29,8
211,7213,Not Delivered,13:22:52,18
212,5586,Not Delivered,10:23:12,34
213,1304,Not Delivered,9:24:18,20
214,9316,Delivered,5:9:57,16
215,4382,Delivered,22:24:34,24
216,2020,Not Delivered,14:21:45,27
217,3461,Delivered,21:15:19,27
218,4912,Delivered,14:43:2,21
219,2570,Delivered,19:0:54,25
220,3362,Not Delivered,12:37:30,2
221,287,Delivered,6:25:26,5
222,6294,Not Delivered,10:8:3,26
223,4265,Not Delivered,11:59:22,13
224,2380,Not Delivered,6:57:0,29
225,9858,Delivered,17:32:56,14
226,1194,Not Delivered,3:2:51,2
227,5869,Not Delivered,16:22:2,18
228,3073,Delivered,4:40:13,32
229,5533,Delivered,4:19:32,7
230,5372,Delivered,16:15:56,15
231,9444,Not Delivered,15:24:50,33
232,312,Delivered,17:50:26,12
233,9297,Not Delivered,9:18:16,11
234,3221,Not Delivered,6:35:4,7
235,7344,Delivered,0:5:3,18
236,4895,Delivered,0:8:28,9
237,2804,Delivered,7:22:14,13
238,7705,Delivered,19:35:36,18
239,6232,Delivered,21:22:46,25
240,6362,Delivered,7:47:46,29
241,3771,Not Delivered,8:38:33,31
242,8904,Not Delivered,6:42:11,34
243,2956,Delivered,7:21:40,19
244,6724,Not Delivered,13:33:19,15
245,4165,Not Delivered,8:43:23,11
246,3231,Delivered,19:57:10,7
247,219,Not Delivered,23:29:30,26
248,28,Not Delivered,13:3:22,9
249,2642,Delivered,10:9:7,23
250,2006,Not Delivered,3:8:44,28
251,4260,Not Delivered,2:52:4,26
252,2360,Not Delivered,12:15:1,25
253,4858,Delivered,6:55:42,7
254,4700,Delivered,2:57:58,10
255,7536,Delivered,9:31:17,25
256,1240,Delivered,21:48:0,34
257,4742,Delivered,23:12:50,2
258,3705,Delivered,17:14:20,29
259,164,Delivered,17:10:51,17
260,4785,Not Delivered,14:35:16,13
261,647,Not Delivered,3:33:49,6
262,8997,Delivered,5:41:13,34
263,7060,Delivered,3:51:51,19
264,9338,Not Delivered,19:38:34,15
265,6967,Not Delivered,15:0:0,4
266,2660,Delivered,1:10:48,25
267,6160,Delivered,13:2:0,30
268,8939,Delivered,0:58:26,30
269,7188,Not Delivered,22:43:36,18
270,1346,Not Delivered,15:52:23,3
271,4098,Delivered,12:38:41,34
272,1707,Not Delivered,5:43:27,15
273,1688,Not Delivered,14:16:15,12
274,204,Delivered,8:59:59,10
275,3100,Not Delivered,2:19:7,3
276,5038,Not Delivered,23:53:59,18
277,8583,Delivered,0:58:11,8
278,1783,Not Delivered,7:48:33,26
279,8872,Delivered,15:10:46,11
280,6191,Not Delivered,6:48:51,20
281,3394,Delivered,8:10:43,24
282,3929,Not Delivered,16:32:54,26
283,9641,Not Delivered,20:40:3,10
284,8571,Delivered,7:25:32,21
285,3528,Not Delivered,15:57:3,30
286,9808,Not Delivered,3:23:2,14
287,5541,Delivered,9:13:3,18
288,4558,Not Delivered,6:31:0,22
289,1185,Delivered,9:57:40,2
290,4561,Not Delivered,5:28:34,15
291,6039,Not Delivered,14:39:1,19
292,6606,Not Delivered,11:7:12,23
293,3834,Delivered,9:53:38,31
294,8721,Delivered,22:31:19,17
295,2833,Delivered,19:33:9,29
296,7225,Not Delivered,15:5:8,24
297,3162,Not Delivered,8:7:51,34
298,4863,Delivered,1:42:12,27
299,307,Delivered,23:41:42,34
300,1612,Delivered,13:26:0,17
301,1248,Delivered,16:14:20,11
302,666,Not Delivered,3:20:0,23
303,5609,Not Delivered,3:44:43,9
304,1451,Delivered,13:9:52,1
305,7652,Not Delivered,10:27:35,21
306,3819,Not Delivered,21:5:17,19
307,9575,Delivered,12:59:31,12
308,3731,Delivered,21:27:54,2
309,5504,Not Delivered,1:28:59,13
310,2572,Delivered,20:29:39,9
311,2932,Delivered,18:58:53,11
312,9258,Delivered,12:12:59,17
313,4364,Not Delivered,11:14:59,24
314,3147,Not Delivered,6:36:44,18
315,436,Not Delivered,14:48:6,26
316,9845,Delivered,12:37:26,29
317,1531,Not Delivered,14:3:15,25
318,233,Not Delivered,4:16:16,32
319,1050,Not Delivered,11:16:20,31
320,1371,Delivered,2:32:42,8
321,8128,Delivered,8:28:44,14
322,4061,Delivered,15:20:9,20
323,3052,Delivered,3:52:35,19
324,5228,Delivered,20:33:58,13
325,2848,Not Delivered,10:44:44,15
326,6803,Delivered,17:43:16,19
327,9016,Not Delivered,8:46:28,29
328,4651,Delivered,11:3:42,27
329,1157,Not Delivered,2:17:45,27
330,9687,Not Delivered,7:11:35,21
331,1052,Not Delivered,4:47:37,1
332,8089,Not Delivered,18:2:57,31
333,1487,Delivered,15:33:18,32
334,8880,Not Delivered,4:38:48,18
335,164,Delivered,18:52:1,26
336,9592,Delivered,14:54:34,10
337,1614,Not Delivered,3:5:27,14
338,1431,Delivered,0:43:19,6
339,3811,Not Delivered,6:3:34,22
340,1508,Not Delivered,5:13:6,25
341,7024,Not Delivered,11:21:31,18
342,938,Delivered,0:54:22,34
343,26,Not Delivered,10:14:50,12
344,7742,Not Delivered,1:52:2,25
345,3191,Not Delivered,9:25:11,7
346,7491,Delivered,18:21:24,1
347,491,Delivered,23:18:17,14
348,5541,Not Delivered,23:13:7,24
349,4654,Not Delivered,5:52:48,14
350,4239,Not Delivered,6:57:13,20
351,6267,Delivered,19:17:33,3
352,1150,Not Delivered,22:17:11,8
353,9420,Not Delivered,22:13:43,11
354,8404,Not Delivered,5:14:34,32
355,8174,Delivered,17:51:4,30
356,6424,Not Delivered,12:22:58,2
357,6789,Not Delivered,8:13:24,17
358,5923,Not Delivered,18:53:58,5
359,5271,Delivered,16:5:49,18
360,7092,Delivered,13:44:46,23
361,846,Not Delivered,2:47:24,23
362,7517,Not Delivered,5:57:4,2
363,4608,Not Delivered,13:34:42,23
364,904,Delivered,5:41:59,12
365,9340,Not Delivered,3:2:10,12
366,1576,Not Delivered,6:30:4,7
367,5858,Not Delivered,22:40:31,24
368,1525,Delivered,9:4:52,16
369,6674,Delivered,1:54:37,34
370,6654,Delivered,6:56:43,27
371,803,Not Delivered,17:36:45,22
372,2617,Delivered,2:15:12,27
373,9819,Not Delivered,20:59:28,2
374,1378,Delivered,4:36:41,25
375,1819,Not Delivered,10:39:5,6
376,2115,Delivered,4:8:21,14
377,3710,Delivered,0:20:43,32
378,8145,Delivered,2:38:15,9
379,3242,Delivered,21:3:7,3
380,2125,Delivered,17:13:10,20
381,9,Delivered,21:32:58,17
382,2577,Delivered,15:19:49,16
383,9289,Not Delivered,13:4:45,19
384,8489,Delivered,19:36:40,1
385,941,Delivered,21:49:24,18
386,8174,Delivered,13:46:29,13
387,3552,Delivered,8:56:36,16
388,4287,Not Delivered,7:55:18,28
389,5869,Delivered,2:12:18,6
390,1880,Not Delivered,2:0:26,6
391,8901,Not Delivered,16:34:11,28
392,1106,Delivered,13:53:14,34
393,3386,Not Delivered,18:53:36,30
394,2229,Delivered,11:0:12,10
395,7347,Delivered,13:13:26,31
396,3863,Not Delivered,7:19:12,33
397,5709,Not Delivered,15:32:49,23
398,5346,Delivered,0:20:2,13
399,4141,Not Delivered,13:32:57,26
400,4270,Delivered,7:38:50,31
401,775,Not Delivered,23:21:37,29
402,9222,Delivered,16:52:50,15
403,4911,Not Delivered,22:7:4,21
404,2579,Not Delivered,1:8:9,28
405,5410,Delivered,3:57:14,29
406,8514,Delivered,2:2:55,30
407,1894,Delivered,2:34:20,22
408,222,Delivered,11:15:53,9
409,954,Delivered,13:48:22,5
410,7055,Delivered,21:43:15,30
411,3477,Delivered,3:6:34,22
412,8409,Not Delivered,7:4:38,3
413,6865,Not Delivered,7:12:4,16
414,8938,Not Delivered,12:9:18,34
415,6867,Delivered,14:26:39,5
416,6624,Not Delivered,16:46:3,12
417,5422,Delivered,23:23:17,33
418,6483,Not Delivered,14:28:25,19
419,8171,Not Delivered,10:45:43,2
420,3058,Not Delivered,12:40:58,7
421,5966,Delivered,2:41:28,1
422,4673,Delivered,23:13:54,30
423,5433,Not Delivered,7:57:10,10
424,5656,Delivered,16:43:39,29
425,3467,Not Delivered,18:28:53,32
426,8376,Delivered,13:33:30,10
427,1518,Delivered,11:50:6,7
428,7906,Not Delivered,12:49:43,23
429,1373,Delivered,6:39:9,24
430,8357,Delivered,9:59:55,21
431,4596,Delivered,22:37:2,2
432,3624,Not Delivered,12:2:16,20
433,8409,Delivered,2:30:7,20
434,1584,Delivered,23:46:1,28
435,1344,Delivered,14:14:16,31
436,8163,Not Delivered,1:8:16,34
437,8914,Delivered,8:41:51,34
438,4066,Not Delivered,17:21:23,31
439,8892,Delivered,1:7:38,10
440,3055,Not Delivered,1:14:11,29
441,3426,Delivered,5:56:10,23
442,744,Delivered,20:48:2,3
443,9361,Delivered,21:3:16,9
444,6144,Delivered,9:2:20,4
445,3976,Delivered,3:48:40,13
446,2632,Delivered,20:1:35,26
447,5188,Delivered,1:4:10,5
448,7871,Not Delivered,12:13:40,9
449,2611,Not Delivered,17:31:8,28
450,7928,Not Delivered,6:16:39,7
451,2645,Not Delivered,3:2:38,16
452,5008,Not Delivered,3:11:3,13
453,1125,Delivered,6:16:10,14
454,559,Delivered,15:3:23,10
455,9867,Not Delivered,10:51:0,11
456,6533,Delivered,17:13:19,2
457,6916,Delivered,18:11:58,19
458,155,Delivered,21:1:8,25
459,1746,Not Delivered,14:45:3,32
460,4614,Not Delivered,1:34:57,7
461,4508,Not Delivered,17:44:55,29
462,5812,Delivered,14:45:56,29
463,8756,Delivered,22:4:59,13
464,5821,Delivered,12:13:2,17
465,1246,Not Delivered,2:58:51,5
466,1785,Delivered,3:43:24,16
467,8618,Delivered,11:20:12,10
468,3968,Delivered,13:13:35,11
469,8344,Not Delivered,17:53:38,27
470,2929,Delivered,8:44:43,30
471,2519,Delivered,22:4:52,13
472,9839,Delivered,5:19:44,3
473,2371,Not Delivered,0:47:13,27
474,4506,Not Delivered,0:39:40,3
475,5120,Delivered,21:44:20,2
476,4997,Not Delivered,16:47:19,28
477,4472,Not Delivered,17:29:24,26
478,7977,Delivered,11:33:29,24
479,9438,Not Delivered,17:7:32,27
480,3641,Delivered,15:28:34,31
481,4906,Delivered,19:3:16,33
482,5635,Not Delivered,23:48:22,9
483,8209,Delivered,19:23:45,20
484,7662,Not Delivered,4:23:12,21
485,7171,Delivered,9:11:18,32
486,8352,Delivered,10:3:22,3
487,3187,Not Delivered,5:7:35,17
488,2103,Delivered,6:22:52,23
489,3217,Not Delivered,2:54:30,8
490,2565,Not Delivered,16:12:18,13
491,2877,Not Delivered,4:38:43,2
492,6189,Delivered,3:50:16,34
493,9403,Delivered,1:47:47,17
494,835,Delivered,15:55:15,3
495,3847,Not Delivered,21:11:20,19
496,9692,Delivered,0:39:1,21
497,3376,Not Delivered,23:39:32,9
498,6334,Delivered,15:28:53,16
499,9559,Not Delivered,10:28:38,5
500,1113,Delivered,8:51:1,19
501,264,Delivered,3:43:54,22
502,9107,Delivered,10:1:45,32
503,942,Delivered,13:14:22,24
504,8373,Delivered,5:0:59,9
505,9626,Delivered,10:45:57,33
506,9338,Delivered,21:56:17,23
507,6502,Not Delivered,22:26:28,32
508,129,Delivered,5:4:7,3
509,4151,Delivered,9:3:44,27
510,3334,Delivered,9:41:23,29
511,6748,Not Delivered,3:49:25,2
512,5251,Delivered,2:28:38,24
513,5633,Not Delivered,23:1:19,13
514,1108,Delivered,11:33:18,27
515,7348,Not Delivered,2:16:23,11
516,1513,Not Delivered,6:16:51,15
517,8698,Delivered,8:44:29,25
518,5449,Delivered,22:3:41,10
519,2447,Delivered,23:48:32,4
520,5735,Not Delivered,22:42:32,30
521,7267,Delivered,21:38:31,7
522,2503,Delivered,6:2:44,20
523,4899,Delivered,13:5:21,2
524,2750,Not Delivered,10:50:1,8
525,9626,Not Delivered,21:0:48,24
526,2032,Not Delivered,10:25:20,14
527,7760,Delivered,11:12:26,12
528,1216,Delivered,8:3:33,17
529,7638,Not Delivered,4:16:34,25
530,8454,Not Delivered,0:58:19,33
531,7227,Not Delivered,23:41:13,4
532,4500,Not Delivered,8:52:28,3
533,2604,Not Delivered,5:22:43,17
534,1151,Delivered,17:22:28,34
535,2270,Delivered,0:22:36,32
536,9942,Delivered,2:18:10,6
537,1945,Not Delivered,20:27:56,4
538,2673,Not Delivered,4:59:49,3
539,7031,Delivered,8:0:42,10
540,1878,Not Delivered,16:12:2,4
541,520,Not Delivered,14:23:40,3
542,5259,Delivered,15:19:59,2
543,619,Delivered,11:29:26,22
544,9272,Delivered,10:54:48,10
545,3649,Not Delivered,1:22:48,30
546,4665,Not Delivered,2:48:29,21
547,463,Delivered,6:33:15,8
548,6752,Not Delivered,19:4:3,11
549,5380,Delivered,12:13:5,4
550,7060,Not Delivered,4:23:51,17
551,1559,Not Delivered,16:40:40,7
552,3763,Not Delivered,18:21:22,26
553,5648,Delivered,23:46:35,16
554,5448,Not Delivered,10:5:30,30
555,2155,Not Delivered,10:52:49,11
556,5271,Not Delivered,21:16:8,5
557,1293,Delivered,15:5:0,9
558,1297,Delivered,20:4:24,2
559,6424,Not Delivered,2:22:58,25
560,558,Not Delivered,7:5:26,24
561,3556,Not Delivered,17:50:13,1
562,3857,Delivered,6:16:7,33
563,4636,Not Delivered,3:45:31,17
564,3572,Not Delivered,11:1:32,4
565,3459,Not Delivered,16:4:29,4
566,1417,Not Delivered,23:14:24,17
567,4514,Not Delivered,9:35:11,11
568,2991,Delivered,11:31:58,25
569,2103,Not Delivered,5:48:0,22
570,8134,Not Delivered,13:20:55,4
571,5428,Delivered,12:8:6,6
572,7662,Not Delivered,2:38:29,23
573,4234,Not Delivered,5:18:26,12
574,4066,Delivered,10:2:1,3
575,2262,Delivered,21:44:33,9
576,4827,Not Delivered,14:58:33,34
577,7962,Not Delivered,17:49:38,31
578,9874,Delivered,18:20:38,26
579,8688,Not Delivered,13:25:38,26
580,8566,Delivered,8:8:26,10
581,7773,Not Delivered,2:34:8,30
582,7348,Delivered,0:49:11,26
583,5425,Delivered,16:32:41,19
584,3138,Not Delivered,12:56:27,28
585,7122,Delivered,17:42:11,32
586,1239,Delivered,16:45:50,10
587,8895,Not Delivered,1:48:35,20
588,8496,Not Delivered,22:0:49,28
589,6086,Not Delivered,19:56:15,12
590,3616,Not Delivered,10:22:10,27
591,6812,Delivered,11:39:25,31
592,532,Delivered,23:5:1,30
593,2778,Delivered,11:20:54,34
594,7065,Not Delivered,18:3:22,13
595,9637,Delivered,15:56:58,9
596,4117,Delivered,18:34:32,9
597,979,Not Delivered,0:37:31,15
598,4495,Delivered,13:26:42,32
599,7509,Delivered,21:29:55,22
600,3933,Delivered,6:21:12,28
601,497,Not Delivered,22:25:48,19
602,7852,Not Delivered,9:39:13,34
603,5477,Not Delivered,13:19:9,9
604,6303,Not Delivered,15:3:53,2
605,1276,Not Delivered,21:31:55,28
606,4529,Not Delivered,19:8:37,6
607,6076,Delivered,7:52:58,5
608,4550,Delivered,0:22:2,17
609,6134,Not Delivered,4:26:56,18
610,8099,Not Delivered,11:38:18,25
611,9071,Delivered,7:8:49,21
612,7065,Delivered,15:24:51,32
613,3998,Not Delivered,19:47:17,5
614,5791,Delivered,9:6:58,24
615,8327,Not Delivered,18:40:23,13
616,1805,Delivered,4:58:50,9
617,5930,Not Delivered,10:32:19,20
618,3338,Delivered,0:13:53,10
619,954,Not Delivered,17:19:56,19
620,3416,Delivered,19:51:52,21
621,4389,Not Delivered,17:28:53,25
622,8333,Delivered,1:1:59,2
623,1026,Not Delivered,10:52:26,9
624,2893,Delivered,18:15:36,26
625,8073,Delivered,20:6:2,33
626,8021,Delivered,1:1:43,19
627,2822,Delivered,4:48:22,7
628,9449,Delivered,16:33:37,24
629,1803,Delivered,14:51:12,8
630,9355,Delivered,1:55:32,22
631,4516,Delivered,8:23:0,32
632,256,Delivered,21:29:46,29
633,8890,Delivered,11:10:15,18
634,3306,Not Delivered,16:5:6,33
635,547,Delivered,8:5:29,32
636,1628,Delivered,10:52:31,8
637,703,Delivered,10:21:50,20
638,3466,Delivered,10:56:0,25
639,7898,Delivered,22:4:55,20
640,1540,Delivered,12:14:30,34
641,3358,Delivered,3:14:10,3
642,2971,Delivered,23:9:58,4
643,9122,Not Delivered,11:9:35,27
644,2800,Not Delivered,7:47:0,1
645,9821,Delivered,14:9:11,26
646,3906,Delivered,1:43:12,34
647,6757,Delivered,19:3:1,4
648,9558,Not Delivered,6:56:23,30
649,1043,Not Delivered,10:51:26,21
650,7835,Not Delivered,15:16:18,23
651,3142,Not Delivered,20:29:20,12
652,780,Delivered,17:17:20,2
653,8664,Not Delivered,17:49:9,20
654,7703,Not Delivered,11:0:58,33
655,6938,Not Delivered,22:19:48,2
656,1197,Delivered,19:8:0,8
657,6247,Not Delivered,8:2:22,19
658,9673,Not Delivered,17:46:11,28
659,3960,Delivered,15:18:3,4
660,7069,Delivered,3:32:39,9
661,6922,Delivered,22:38:10,9
662,3022,Not Delivered,2:13:15,24
663,288,Delivered,14:14:48,33
664,4823,Delivered,6:25:10,7
665,7548,Not Delivered,7:3:41,20
666,6043,Not Delivered,20:33:6,9
667,9938,Delivered,11:42:38,28
668,1509,Delivered,5:31:21,18
669,8022,Not Delivered,0:22:9,29
670,9538,Delivered,1:12:14,30
671,4006,Not Delivered,4:38:5,18
672,9550,Not Delivered,6:51:10,16
673,886,Not Delivered,12:2:43,15
674,4388,Delivered,7:32:2,23
675,9741,Not Delivered,17:33:43,11
676,4517,Not Delivered,8:39:44,20
677,931,Delivered,23:31:24,4
678,8397,Delivered,4:16:32,7
679,7926,Delivered,2:55:5,14
680,767,Not Delivered,10:6:18,12
681,1442,Delivered,10:10:48,4
682,9434,Not Delivered,11:53:15,3
683,6588,Not Delivered,5:51:20,6
684,7314,Delivered,8:16:28,28
685,3998,Not Delivered,2:47:24,18
686,5460,Not Delivered,10:44:50,4
687,3460,Delivered,8:48:12,11
688,238,Not Delivered,13:41:11,11
689,8508,Delivered,23:30:9,25
690,5060,Not Delivered,8:2:42,15
691,8466,Delivered,13:6:48,8
692,5133,Delivered,2:49:49,19
693,4829,Delivered,18:23:12,13
694,7498,Delivered,0:33:56,27
695,6436,Not Delivered,10:17:51,8
696,4264,Not Delivered,7:57:4,2
697,8151,Delivered,14:50:28,4
698,1817,Not Delivered,23:33:39,25
699,9813,Delivered,22:56:43,24
700,481,Not Delivered,12:1:18,3
701,771,Not Delivered,20:4:50,28
702,1042,Delivered,13:8:10,11
703,3314,Not Delivered,21:25:24,30
704,3961,Delivered,6:7:52,15
705,5807,Delivered,0:3:30,11
706,4523,Not Delivered,21:40:8,24
707,5441,Not Delivered,22:36:53,24
708,1324,Not Delivered,23:39:55,19
709,2920,Delivered,1:37:49,22
710,7927,Not Delivered,12:41:55,6
711,8087,Not Delivered,17:41:32,8
712,2509,Delivered,15:58:5,3
713,9349,Delivered,13:40:51,13
714,15,Delivered,22:18:30,9
715,7463,Not Delivered,8:23:45,9
716,6493,Delivered,18:11:41,16
717,463,Delivered,5:30:18,1
718,457,Delivered,23:26:57,2
719,9715,Not Delivered,22:20:37,30
720,6413,Not Delivered,0:39:40,11
721,9923,Not Delivered,17:0:47,1
722,2056,Delivered,3:37:13,33
723,5504,Delivered,1:48:3,11
724,827,Delivered,7:55:12,4
725,6700,Delivered,18:5:28,4
726,3224,Not Delivered,0:52:39,16
727,9189,Delivered,10:40:18,4
728,1125,Not Delivered,21:56:51,13
729,8851,Not Delivered,3:0:0,15
730,4998,Not Delivered,15:40:17,11
731,5911,Delivered,12:40:47,5
732,310,Delivered,13:16:4,27
733,6705,Not Delivered,12:38:56,14
734,9899,Not Delivered,16:33:55,7
735,9519,Not Delivered,22:50:48,2
736,475,Delivered,12:29:21,13
737,8527,Not Delivered,11:46:28,6
738,1211,Delivered,11:49:30,12
