order_id,customer_id,restaurant_id,order_item,order_date,order_time,order_status,total_amount
75,19,67,Pizza,2023-01-27,09:54:22,Completed,546
76,7,4,Pasta,2023-08-08,17:57:43,Completed,667
77,2,19,Shawarma,2023-09-26,06:15:40,Not Fulfilled,642
78,33,20,Shawarma,2023-06-28,08:07:22,Not Fulfilled,611
79,13,45,Shawarma,2023-01-24,14:30:32,Not Fulfilled,188
80,30,64,Chole Bhature,2023-07-19,15:47:11,Not Fulfilled,403
81,6,68,Pasta,2023-04-29,01:44:43,Not Fulfilled,465
82,12,63,Chole Bhature,2023-12-14,04:23:39,Not Fulfilled,342
83,18,17,Chole Bhature,2023-10-20,15:52:54,Completed,184
84,10,42,Paneer Butter Masala,2023-04-17,13:58:08,Not Fulfilled,406
85,14,13,Shawarma,2023-03-31,07:08:20,Completed,205
86,31,64,Shawarma,2023-03-21,01:56:19,Not Fulfilled,764
87,3,60,Biryani,2023-12-07,06:18:36,Completed,454
88,33,7,Chole Bhature,2023-07-28,17:14:20,Completed,482
89,30,51,Burger,2023-09-05,23:17:18,Completed,667
90,29,29,Chole Bhature,2023-01-24,02:58:22,Not Fulfilled,464
91,27,29,Pasta,2023-03-23,19:58:29,Completed,181
92,2,8,Paneer Butter Masala,2023-09-11,05:01:14,Not Fulfilled,527
93,11,20,Pizza,2023-01-30,15:09:52,Not Fulfilled,270
94,14,45,Chole Bhature,2023-05-20,17:24:27,Completed,175
95,31,41,Shawarma,2023-11-06,09:25:54,Completed,514
96,32,8,Dosa,2023-09-22,11:54:37,Not Fulfilled,619
97,22,24,Paneer Butter Masala,2023-07-23,09:54:18,Completed,422
98,6,47,Dosa,2023-05-07,23:14:55,Not Fulfilled,495
99,33,22,Burger,2023-08-11,12:33:19,Not Fulfilled,486
100,30,23,Biryani,2023-08-29,22:10:12,Completed,374
101,29,21,Pasta,2023-08-30,02:45:15,Completed,307
102,5,22,Paneer Butter Masala,2023-07-23,21:13:33,Not Fulfilled,701
103,12,12,Paneer Butter Masala,2023-06-07,01:28:03,Not Fulfilled,551
104,17,8,Biryani,2023-08-26,05:39:34,Completed,314
105,7,5,Chole Bhature,2023-06-21,01:08:45,Not Fulfilled,793
106,27,5,Biryani,2023-08-01,22:02:19,Not Fulfilled,543
107,19,2,Pizza,2023-02-20,17:55:24,Completed,250
108,13,6,Burger,2023-08-08,11:21:44,Not Fulfilled,558
109,28,14,Dosa,2023-11-20,18:21:08,Not Fulfilled,251
110,22,49,Pasta,2023-02-15,04:58:45,Completed,615
111,16,5,Pasta,2023-09-22,12:54:44,Not Fulfilled,213
112,26,9,Burger,2023-11-06,16:15:57,Not Fulfilled,615
113,8,60,Chole Bhature,2023-08-28,23:54:34,Not Fulfilled,618
114,18,55,Paneer Butter Masala,2023-01-09,18:09:22,Not Fulfilled,690
115,5,8,Burger,2023-12-08,20:10:35,Not Fulfilled,273
116,15,8,Shawarma,2023-11-08,22:05:04,Not Fulfilled,511
117,29,65,Chole Bhature,2023-02-13,00:08:45,Completed,413
118,4,27,Shawarma,2023-09-04,17:56:48,Not Fulfilled,489
119,27,21,Dosa,2023-06-02,16:09:22,Not Fulfilled,570
120,11,15,Chole Bhature,2023-12-16,23:39:36,Completed,274
121,24,17,Pasta,2023-10-16,21:03:35,Completed,199
122,25,13,Dosa,2023-12-23,13:22:11,Completed,746
123,9,58,Biryani,2023-03-11,10:54:11,Completed,404
124,8,49,Pasta,2023-07-14,18:29:52,Not Fulfilled,224
125,32,44,Paneer Butter Masala,2023-06-22,23:35:00,Completed,162
126,19,24,Dosa,2023-09-05,23:34:19,Completed,685
127,33,24,Paneer Butter Masala,2023-01-07,16:35:39,Completed,258
128,24,69,Shawarma,2023-04-11,08:29:41,Completed,507
129,11,39,Pasta,2023-12-29,13:48:39,Completed,332
130,28,70,Shawarma,2023-09-08,07:14:14,Completed,700
131,8,9,Chole Bhature,2023-08-01,18:53:05,Not Fulfilled,225
132,5,31,Burger,2023-05-29,03:06:46,Not Fulfilled,432
133,13,67,Biryani,2023-04-12,04:57:47,Completed,494
134,23,2,Paneer Butter Masala,2023-01-21,01:59:51,Not Fulfilled,425
135,8,60,Dosa,2023-08-12,09:57:15,Not Fulfilled,339
136,30,68,Paneer Butter Masala,2023-12-15,09:05:27,Not Fulfilled,225
137,11,58,Dosa,2023-11-14,19:16:50,Completed,420
138,28,15,Paneer Butter Masala,2023-03-09,07:52:03,Completed,435
139,8,8,Shawarma,2023-03-12,07:25:24,Not Fulfilled,637
140,21,33,Chole Bhature,2023-08-09,06:41:01,Not Fulfilled,345
141,21,54,Biryani,2023-05-10,18:34:06,Completed,470
142,27,20,Pasta,2023-03-29,12:25:21,Completed,734
143,12,30,Pasta,2023-05-11,13:39:50,Completed,614
144,16,60,Paneer Butter Masala,2023-11-09,05:29:38,Completed,542
145,18,58,Pasta,2023-03-13,21:03:12,Not Fulfilled,672
146,7,39,Dosa,2023-01-17,08:44:23,Completed,544
147,4,59,Pizza,2023-07-22,05:38:17,Completed,233
148,3,19,Dosa,2023-10-19,19:47:49,Completed,590
149,15,15,Biryani,2023-05-27,03:16:38,Not Fulfilled,205
150,18,21,Pasta,2023-03-15,16:17:26,Not Fulfilled,491
151,20,38,Shawarma,2023-01-24,23:55:55,Completed,249
152,25,35,Pizza,2023-03-12,14:43:58,Not Fulfilled,152
153,1,5,Pizza,2023-08-12,03:34:29,Completed,641
154,14,10,Shawarma,2023-07-16,13:49:13,Completed,522
155,18,42,Burger,2023-05-31,10:39:37,Not Fulfilled,698
156,14,25,Shawarma,2023-08-02,07:03:01,Not Fulfilled,266
157,29,8,Chole Bhature,2023-09-30,18:47:43,Completed,541
158,3,26,Pasta,2023-03-13,19:37:27,Not Fulfilled,797
159,4,60,Burger,2023-06-14,03:27:56,Completed,359
160,20,15,Pasta,2023-06-02,23:44:21,Completed,224
161,8,32,Biryani,2023-08-30,20:31:50,Completed,769
162,12,19,Biryani,2023-09-19,06:10:44,Not Fulfilled,224
163,30,6,Shawarma,2023-12-09,16:20:34,Completed,396
164,27,52,Paneer Butter Masala,2023-05-04,04:31:29,Not Fulfilled,483
165,20,19,Chole Bhature,2023-11-09,04:19:27,Not Fulfilled,311
166,18,54,Biryani,2023-06-01,19:39:35,Completed,422
167,26,13,Pasta,2023-09-28,16:22:50,Completed,582
168,20,31,Biryani,2023-03-12,00:04:45,Completed,498
169,29,9,Dosa,2023-10-09,10:10:29,Completed,667
170,30,23,Dosa,2023-01-03,19:48:30,Completed,445
171,32,5,Biryani,2023-03-20,22:06:56,Not Fulfilled,505
172,27,23,Burger,2023-11-12,14:03:05,Not Fulfilled,478
173,7,29,Chole Bhature,2023-03-14,18:29:48,Not Fulfilled,625
174,20,11,Pasta,2023-02-16,23:10:33,Completed,296
175,14,14,Burger,2023-08-11,05:49:18,Not Fulfilled,614
176,32,32,Burger,2023-12-05,19:24:32,Completed,181
177,29,62,Pizza,2023-02-02,19:06:24,Not Fulfilled,796
178,14,17,Burger,2023-07-30,17:09:14,Completed,788
179,8,5,Shawarma,2023-03-20,05:55:10,Completed,693
180,5,19,Biryani,2023-07-19,05:58:05,Completed,708
181,33,44,Pizza,2023-02-25,04:09:45,Completed,433
182,24,49,Pizza,2023-04-18,14:59:10,Completed,414
183,15,7,Pizza,2023-04-08,11:27:03,Not Fulfilled,353
184,3,30,Dosa,2023-04-10,06:05:54,Completed,495
185,19,57,Pizza,2023-05-29,02:18:47,Not Fulfilled,718
186,21,57,Shawarma,2023-01-24,05:36:24,Completed,327
187,21,52,Dosa,2023-12-28,00:11:27,Not Fulfilled,516
188,32,14,Pasta,2023-06-17,13:40:10,Not Fulfilled,290
189,3,8,Pasta,2023-07-14,06:41:43,Not Fulfilled,320
190,24,63,Shawarma,2023-03-16,19:34:32,Not Fulfilled,302
191,10,11,Paneer Butter Masala,2023-12-08,12:33:35,Completed,700
192,8,9,Shawarma,2023-01-26,20:58:07,Not Fulfilled,403
193,12,5,Pizza,2023-05-24,20:03:25,Not Fulfilled,658
194,27,50,Biryani,2023-01-09,20:46:57,Completed,153
195,1,46,Biryani,2023-05-02,02:33:14,Not Fulfilled,219
196,7,51,Dosa,2023-11-02,09:57:13,Not Fulfilled,524
197,24,60,Dosa,2023-03-17,17:27:05,Not Fulfilled,240
198,8,50,Biryani,2023-09-15,03:19:27,Completed,179
199,11,3,Shawarma,2023-07-29,07:31:44,Completed,432
200,8,18,Chole Bhature,2023-06-28,14:44:18,Not Fulfilled,576
201,2,62,Paneer Butter Masala,2023-01-05,09:35:02,Completed,605
202,20,38,Biryani,2023-02-17,12:25:57,Not Fulfilled,301
203,20,40,Biryani,2023-12-04,18:53:05,Not Fulfilled,362
204,32,70,Burger,2023-10-04,11:14:44,Not Fulfilled,661
205,29,20,Shawarma,2023-06-08,09:33:59,Completed,230
206,28,14,Biryani,2023-04-13,22:36:39,Not Fulfilled,556
207,18,20,Paneer Butter Masala,2023-06-25,21:42:46,Completed,503
208,8,47,Biryani,2023-08-20,08:36:45,Not Fulfilled,536
209,31,34,Burger,2023-07-11,23:26:01,Completed,455
210,9,69,Pasta,2023-05-12,08:11:56,Not Fulfilled,316
211,26,35,Chole Bhature,2023-11-17,15:31:19,Not Fulfilled,452
212,9,51,Pasta,2023-12-25,13:50:40,Completed,339
213,3,28,Shawarma,2023-04-26,22:07:21,Not Fulfilled,370
214,17,62,Pasta,2023-10-29,06:06:19,Not Fulfilled,591
215,1,8,Paneer Butter Masala,2023-09-22,06:14:47,Completed,257
216,30,37,Dosa,2023-02-06,02:36:55,Not Fulfilled,621
217,25,62,Chole Bhature,2023-11-30,09:10:46,Completed,793
218,10,15,Burger,2023-08-07,01:35:29,Completed,574
219,9,38,Shawarma,2023-12-19,19:05:50,Completed,308
220,5,68,Paneer Butter Masala,2023-03-20,10:12:11,Completed,291
221,24,70,Pasta,2023-11-27,07:53:58,Completed,331
222,33,34,Burger,2023-09-22,18:38:57,Completed,601
223,13,9,Dosa,2023-08-06,15:20:32,Completed,418
224,30,6,Biryani,2023-03-14,22:29:20,Completed,354
225,19,68,Paneer Butter Masala,2023-01-16,21:03:36,Not Fulfilled,252
226,32,70,Shawarma,2023-02-27,10:53:54,Not Fulfilled,286
227,26,42,Dosa,2023-05-03,20:07:06,Completed,531
228,10,35,Biryani,2023-06-15,07:49:31,Completed,363
229,28,6,Paneer Butter Masala,2023-04-05,04:15:29,Completed,716
230,30,41,Pasta,2023-02-15,00:49:53,Not Fulfilled,152
231,3,49,Burger,2023-03-05,07:45:15,Completed,780
232,31,6,Biryani,2023-04-14,23:30:25,Not Fulfilled,559
233,28,2,Dosa,2023-01-01,00:21:46,Not Fulfilled,478
234,8,45,Dosa,2023-12-13,13:09:38,Not Fulfilled,271
235,5,18,Paneer Butter Masala,2023-12-17,16:16:56,Completed,674
236,16,39,Dosa,2023-11-28,16:35:12,Not Fulfilled,566
237,30,68,Paneer Butter Masala,2023-03-15,22:43:34,Completed,760
238,5,4,Chole Bhature,2023-05-25,04:44:08,Not Fulfilled,423
239,30,14,Pasta,2023-02-25,15:01:00,Completed,235
240,9,28,Chole Bhature,2023-12-17,09:39:13,Not Fulfilled,618
241,28,13,Pizza,2023-11-28,21:28:26,Completed,171
242,12,41,Pasta,2023-01-14,11:11:12,Completed,778
243,33,5,Pasta,2023-05-28,22:35:46,Completed,356
244,23,31,Chole Bhature,2023-12-17,15:18:20,Not Fulfilled,265
245,18,62,Dosa,2023-12-13,22:21:30,Completed,736
246,11,27,Pizza,2023-11-14,11:39:53,Not Fulfilled,221
247,18,44,Pizza,2023-02-10,18:32:12,Completed,245
248,23,11,Pasta,2023-09-12,22:20:00,Not Fulfilled,181
249,7,71,Pasta,2023-01-25,02:41:24,Completed,369
250,27,30,Burger,2023-08-07,04:51:17,Completed,593
251,1,31,Chole Bhature,2023-12-05,07:18:46,Completed,744
252,2,13,Shawarma,2023-08-21,21:10:25,Not Fulfilled,786
253,11,14,Chole Bhature,2023-08-18,13:37:49,Completed,356
254,32,22,Pizza,2023-01-17,15:54:43,Completed,355
255,24,68,Chole Bhature,2023-06-23,09:12:16,Not Fulfilled,556
256,19,17,Chole Bhature,2023-08-02,07:24:01,Completed,531
257,8,25,Pizza,2023-08-30,16:11:14,Not Fulfilled,465
258,16,65,Pasta,2023-02-11,06:45:36,Not Fulfilled,507
259,20,15,Shawarma,2023-01-06,08:47:39,Not Fulfilled,686
260,10,57,Dosa,2023-01-23,20:01:21,Completed,319
261,3,61,Paneer Butter Masala,2023-06-01,12:20:02,Not Fulfilled,414
262,21,7,Biryani,2023-08-12,19:24:39,Completed,652
263,29,3,Burger,2023-01-23,09:49:45,Not Fulfilled,729
264,22,3,Burger,2023-03-04,06:03:54,Not Fulfilled,474
265,27,23,Shawarma,2023-01-30,19:16:26,Not Fulfilled,207
266,9,43,Burger,2023-10-23,19:51:38,Completed,187
267,2,33,Burger,2023-05-15,20:31:11,Not Fulfilled,454
268,7,9,Pasta,2023-06-01,11:42:37,Completed,162
269,19,3,Paneer Butter Masala,2023-04-26,08:06:31,Completed,254
270,29,33,Pasta,2023-09-01,00:20:43,Not Fulfilled,508
271,17,60,Dosa,2023-09-02,18:14:06,Completed,729
272,9,67,Biryani,2023-10-02,21:17:58,Not Fulfilled,462
273,6,25,Burger,2023-12-18,08:39:27,Completed,429
274,32,41,Shawarma,2023-03-20,20:08:02,Completed,623
275,14,23,Paneer Butter Masala,2023-06-01,06:06:38,Completed,292
276,31,60,Paneer Butter Masala,2023-02-03,16:37:59,Not Fulfilled,720
277,4,45,Pasta,2023-08-29,14:23:31,Not Fulfilled,230
278,26,49,Pasta,2023-05-17,16:30:39,Not Fulfilled,308
279,2,48,Shawarma,2023-07-12,23:54:21,Completed,607
280,15,51,Burger,2023-03-09,13:15:18,Completed,524
281,28,26,Chole Bhature,2023-01-01,00:53:12,Not Fulfilled,196
282,12,43,Burger,2023-01-19,11:14:23,Not Fulfilled,795
283,5,11,Dosa,2023-12-30,17:58:02,Completed,468
284,32,45,Shawarma,2023-10-25,08:36:43,Not Fulfilled,330
285,27,43,Burger,2023-08-30,02:58:13,Not Fulfilled,256
286,15,36,Chole Bhature,2023-07-28,09:13:50,Completed,305
287,9,1,Dosa,2023-04-12,15:36:04,Completed,252
288,16,19,Biryani,2023-02-28,04:43:02,Completed,556
289,23,27,Biryani,2023-12-01,15:56:36,Not Fulfilled,598
290,5,30,Pizza,2023-09-06,03:44:17,Completed,343
291,23,59,Biryani,2023-12-29,10:58:04,Completed,559
292,5,51,Pizza,2023-04-17,07:17:22,Not Fulfilled,679
293,10,24,Shawarma,2023-07-03,08:39:17,Not Fulfilled,377
294,12,22,Biryani,2023-10-03,23:56:04,Completed,669
295,31,71,Biryani,2023-01-04,03:20:07,Completed,438
296,15,49,Pizza,2023-08-23,10:50:22,Completed,517
297,15,59,Biryani,2023-12-23,10:41:53,Not Fulfilled,796
298,9,62,Burger,2023-12-12,23:49:26,Completed,173
299,13,8,Chole Bhature,2023-12-10,19:53:36,Not Fulfilled,443
300,30,52,Pasta,2023-01-23,06:00:28,Not Fulfilled,616
301,11,26,Pizza,2023-10-03,22:14:02,Not Fulfilled,693
302,25,28,Biryani,2023-06-14,04:48:00,Not Fulfilled,757
303,20,1,Pasta,2023-02-02,14:54:11,Not Fulfilled,649
304,16,11,Dosa,2023-07-08,06:50:52,Completed,261
305,11,17,Paneer Butter Masala,2023-11-21,03:00:20,Not Fulfilled,366
306,4,65,Pizza,2023-11-13,22:39:27,Not Fulfilled,320
307,28,27,Pizza,2023-04-12,11:13:28,Completed,768
308,15,67,Biryani,2023-04-14,11:32:55,Not Fulfilled,244
309,32,64,Dosa,2023-09-04,12:10:59,Completed,542
310,33,21,Pizza,2023-02-12,14:21:56,Completed,203
311,12,59,Shawarma,2023-06-27,15:10:45,Completed,544
312,1,63,Shawarma,2023-04-16,10:25:06,Not Fulfilled,487
313,4,60,Pasta,2023-08-23,09:52:56,Completed,348
314,10,6,Biryani,2023-06-17,13:54:06,Completed,788
315,17,47,Paneer Butter Masala,2023-08-20,05:50:36,Not Fulfilled,680
316,16,26,Burger,2023-10-31,12:26:52,Not Fulfilled,652
317,1,65,Paneer Butter Masala,2023-12-07,11:45:03,Completed,380
318,10,42,Shawarma,2023-10-01,14:54:37,Not Fulfilled,247
319,14,63,Burger,2023-12-14,16:27:14,Completed,254
320,1,18,Chole Bhature,2023-01-07,11:07:40,Not Fulfilled,536
321,16,50,Dosa,2023-03-13,10:45:35,Completed,309
322,31,8,Chole Bhature,2023-06-19,05:44:09,Completed,710
323,20,41,Shawarma,2023-01-21,19:26:34,Not Fulfilled,167
324,19,3,Dosa,2023-01-16,04:48:10,Not Fulfilled,668
325,23,54,Dosa,2023-08-30,21:10:15,Not Fulfilled,572
326,26,68,Pizza,2023-08-16,19:12:42,Completed,388
327,24,27,Pasta,2023-09-17,23:11:13,Completed,321
328,14,22,Pasta,2023-01-15,10:58:06,Not Fulfilled,275
329,30,3,Burger,2023-10-08,01:50:23,Completed,626
330,1,9,Paneer Butter Masala,2023-05-08,17:24:19,Completed,351
331,7,6,Chole Bhature,2023-05-07,22:25:15,Not Fulfilled,263
332,29,2,Biryani,2023-11-26,20:53:26,Completed,192
333,13,6,Shawarma,2023-01-02,06:09:22,Not Fulfilled,449
334,14,12,Dosa,2023-03-02,13:03:43,Completed,474
335,3,37,Biryani,2023-05-18,08:45:19,Not Fulfilled,466
336,13,51,Pasta,2023-07-11,11:16:16,Completed,759
337,6,21,Chole Bhature,2023-01-27,14:52:26,Not Fulfilled,569
338,31,29,Paneer Butter Masala,2023-04-19,05:43:55,Not Fulfilled,466
339,2,16,Chole Bhature,2023-08-24,11:10:28,Completed,431
340,6,23,Chole Bhature,2023-12-19,01:09:00,Not Fulfilled,581
341,28,38,Shawarma,2023-08-01,04:42:26,Completed,593
342,27,44,Pizza,2023-05-12,06:20:28,Completed,765
343,1,1,Shawarma,2023-11-26,02:47:29,Completed,311
344,17,30,Burger,2023-01-18,12:09:10,Not Fulfilled,235
345,24,15,Pasta,2023-01-20,13:43:56,Not Fulfilled,778
346,8,18,Biryani,2023-10-03,23:05:49,Completed,452
347,22,19,Shawarma,2023-01-01,00:41:16,Completed,522
348,5,29,Dosa,2023-10-14,12:40:08,Not Fulfilled,359
349,4,33,Paneer Butter Masala,2023-07-12,20:36:57,Not Fulfilled,170
350,3,28,Shawarma,2023-03-22,22:41:21,Not Fulfilled,183
351,19,13,Pizza,2023-06-28,20:50:20,Completed,294
352,8,63,Shawarma,2023-03-29,06:47:44,Completed,591
353,9,46,Pasta,2023-04-06,09:46:28,Completed,705
354,1,43,Pasta,2023-10-24,21:37:06,Not Fulfilled,757
355,7,16,Burger,2023-12-27,17:54:51,Not Fulfilled,686
356,25,45,Chole Bhature,2023-08-20,03:55:46,Not Fulfilled,187
357,32,54,Burger,2023-01-02,21:16:28,Not Fulfilled,456
358,31,12,Paneer Butter Masala,2023-02-10,17:28:25,Completed,471
359,22,1,Shawarma,2023-07-07,04:50:42,Completed,706
360,5,9,Pasta,2023-03-30,10:04:51,Not Fulfilled,163
361,24,32,Pasta,2023-05-18,13:10:47,Completed,734
362,16,32,Paneer Butter Masala,2023-01-19,09:52:46,Not Fulfilled,700
363,1,27,Paneer Butter Masala,2023-08-21,13:25:41,Not Fulfilled,762
364,6,56,Dosa,2023-02-28,17:50:38,Not Fulfilled,482
365,29,55,Shawarma,2023-02-20,17:26:57,Completed,224
366,16,1,Dosa,2023-06-11,07:54:39,Not Fulfilled,216
367,8,26,Burger,2023-01-04,20:22:28,Completed,613
368,17,47,Biryani,2023-12-06,04:38:12,Completed,314
369,2,58,Shawarma,2023-07-09,13:08:59,Not Fulfilled,445
370,9,34,Paneer Butter Masala,2023-10-12,15:13:43,Completed,521
371,9,64,Pizza,2023-02-28,03:33:17,Not Fulfilled,232
372,24,35,Dosa,2023-09-24,08:46:21,Completed,442
373,13,52,Pasta,2023-08-09,17:53:38,Not Fulfilled,609
374,16,6,Dosa,2023-02-26,10:39:12,Completed,202
375,14,28,Paneer Butter Masala,2023-05-04,15:03:57,Not Fulfilled,656
376,27,58,Pasta,2023-12-07,19:22:10,Completed,740
377,24,48,Paneer Butter Masala,2023-09-14,20:09:24,Completed,722
378,27,24,Paneer Butter Masala,2023-06-05,13:02:28,Completed,651
379,8,35,Dosa,2023-08-31,20:59:23,Not Fulfilled,443
380,3,70,Shawarma,2023-08-14,07:01:40,Not Fulfilled,299
381,7,47,Shawarma,2023-11-16,16:43:29,Not Fulfilled,703
382,8,8,Shawarma,2023-07-01,17:57:14,Not Fulfilled,224
383,3,17,Shawarma,2023-06-02,04:06:50,Completed,639
384,28,51,Biryani,2023-09-29,16:19:12,Completed,347
385,8,2,Shawarma,2023-09-01,15:04:34,Not Fulfilled,559
386,25,8,Burger,2023-11-15,05:43:03,Completed,394
387,16,33,Shawarma,2023-12-31,16:08:56,Completed,360
388,33,39,Dosa,2023-02-04,17:16:52,Completed,408
389,10,4,Burger,2023-04-16,11:12:19,Completed,598
390,17,18,Pasta,2023-09-09,22:42:52,Completed,441
391,20,5,Chole Bhature,2023-02-25,15:11:06,Not Fulfilled,419
392,31,50,Chole Bhature,2023-05-24,11:58:37,Not Fulfilled,164
393,4,10,Dosa,2023-02-14,02:43:15,Not Fulfilled,171
394,20,63,Paneer Butter Masala,2023-12-20,19:52:53,Not Fulfilled,189
395,15,15,Shawarma,2023-08-18,12:57:42,Completed,174
396,1,11,Burger,2023-07-21,09:38:15,Not Fulfilled,529
397,28,53,Shawarma,2023-09-28,07:55:34,Not Fulfilled,458
398,9,29,Pasta,2023-02-25,12:18:37,Not Fulfilled,619
399,32,31,Paneer Butter Masala,2023-09-24,14:28:21,Not Fulfilled,744
400,10,17,Chole Bhature,2023-01-09,19:05:12,Completed,181
401,5,53,Pasta,2023-11-21,16:42:22,Not Fulfilled,776
402,33,54,Burger,2023-04-25,05:13:17,Not Fulfilled,630
403,30,8,Chole Bhature,2023-08-09,05:06:29,Completed,755
404,32,12,Shawarma,2023-06-20,18:20:49,Not Fulfilled,183
405,20,9,Biryani,2023-04-18,04:59:17,Not Fulfilled,481
406,10,30,Burger,2023-01-25,04:13:51,Not Fulfilled,545
407,11,43,Biryani,2023-05-30,05:07:34,Completed,165
408,5,15,Pasta,2023-06-30,06:45:09,Not Fulfilled,175
409,5,62,Shawarma,2023-08-17,23:37:42,Not Fulfilled,726
410,33,9,Burger,2023-10-03,05:01:57,Not Fulfilled,270
411,20,39,Biryani,2023-03-24,22:02:18,Completed,753
412,21,17,Dosa,2023-04-10,22:44:45,Not Fulfilled,778
413,15,8,Burger,2023-07-30,13:27:04,Completed,264
414,17,20,Chole Bhature,2023-08-27,14:18:44,Completed,499
